source program,atan,cos,sin,exp,log,log10,pow,sqrt,fabs
chstone_adpcm,0,0,0,0,0,0,0,0,0
chstone_aes,0,0,0,0,0,0,0,0,0
chstone_blowfish,0,0,0,0,0,0,0,0,0
chstone_dfadd,0,0,0,0,0,0,0,0,0
chstone_dfadd,0,0,0,0,0,0,0,0,0
chstone_dfdiv,0,0,0,0,0,0,0,0,0
chstone_dfmul,0,0,0,0,0,0,0,0,0
chstone_dfsin,0,0,0,0,0,0,0,0,0
chstone_gsm,0,0,0,0,0,0,0,0,0
chstone_jpeg,0,0,0,0,0,0,0,0,0
chstone_mips,0,0,0,0,0,0,0,0,0
chstone_motion,0,0,0,0,0,0,0,0,0
chstone_sha,0,0,0,0,0,0,0,0,0
hiflipvx,0,0,0,0,0,0,0,0,0
misc_autocor,0,0,0,0,0,0,0,0,0
misc_dsp_dotprod,0,0,0,0,0,0,0,0,0
misc_fir,0,0,0,0,0,0,0,0,0
misc_fir2D,0,0,0,0,0,0,0,0,0
misc_kmeans,0,0,0,0,0,0,0,0,1
misc_knn,0,0,0,0,0,0,0,1,0
misc_svm,0,0,0,1,0,0,0,0,0
misc_triangles_hipotenuses,0,0,0,0,0,0,0,1,0
snu_ludcmp,0,0,0,0,0,0,0,0,1
snu_matmul,0,0,0,0,0,0,0,0,0
snu_minver,0,0,0,0,0,0,0,0,2
utdsp_adpcm,0,0,0,0,0,2,2,0,4
utdsp_compress,1,1,0,0,0,0,0,0,0
utdsp_edge_detect,0,0,0,0,0,0,0,0,0
utdsp_fft_1024,0,0,0,0,0,0,0,0,0
utdsp_fft_256,0,0,0,0,0,0,0,0,0
utdsp_fir_256_64,0,0,0,0,0,0,0,0,0
utdsp_fir_32_1,0,0,0,0,0,0,0,0,0
utdsp_histogram,0,0,0,0,0,0,0,0,0
utdsp_iir_1_1,0,0,0,0,0,0,0,0,0
utdsp_iir_4_64,0,0,0,0,0,0,0,0,0
utdsp_latnrm_32_64,0,0,0,0,0,0,0,0,0
utdsp_latnrm_8_1,0,0,0,0,0,0,0,0,0
utdsp_lmsfir_32_64,0,0,0,0,0,0,0,0,0
utdsp_lmsfir_8_1,0,0,0,0,0,0,0,0,0
utdsp_lpc,0,1,0,0,0,0,0,1,0
utdsp_mult_10_10,0,0,0,0,0,0,0,0,0
utdsp_mult_4_4,0,0,0,0,0,0,0,0,0
utdsp_spectral_estimation,2,2,1,0,0,1,0,0,0
utdsp_trellis,0,1,0,0,1,0,0,2,0
